Fighter,Year,FirstYear,LastYear
Alex Chambers,2014,2014,2018
Alex Chambers,2015,2014,2018
Alex Chambers,2016,2014,2018
Alex Chambers,2017,2014,2018
Alex Chambers,2018,2014,2018
Alex Torres,2015,2015,2015
Alexander Volkanovski,2016,2016,2025
Alexander Volkanovski,2017,2016,2025
Alexander Volkanovski,2018,2016,2025
Alexander Volkanovski,2019,2016,2025
Alexander Volkanovski,2020,2016,2025
Alexander Volkanovski,2021,2016,2025
Alexander Volkanovski,2022,2016,2025
Alexander Volkanovski,2023,2016,2025
Alexander Volkanovski,2024,2016,2025
Alexander Volkanovski,2025,2016,2025
Ange Loosa,2022,2022,2024
Ange Loosa,2023,2022,2024
Ange Loosa,2024,2022,2024
Anthony Perosh,2011,2011,2015
Anthony Perosh,2012,2011,2015
Anthony Perosh,2013,2011,2015
Anthony Perosh,2014,2011,2015
Anthony Perosh,2015,2011,2015
Ashkan Mokhtarian,2017,2017,2017
Bassil Hafez,2023,2023,2024
Bassil Hafez,2024,2023,2024
Bec Rawlings,2014,2014,2018
Bec Rawlings,2015,2014,2018
Bec Rawlings,2016,2014,2018
Bec Rawlings,2017,2014,2018
Bec Rawlings,2018,2014,2018
Ben Nguyen,2015,2015,2018
Ben Nguyen,2016,2015,2018
Ben Nguyen,2017,2015,2018
Ben Nguyen,2018,2015,2018
Ben Sosoli,2020,2020,2020
Ben Wall,2013,2013,2014
Ben Wall,2014,2013,2014
Benny Alloway,2012,2012,2013
Benny Alloway,2013,2012,2013
Brendan O'Reilly,2014,2014,2016
Brendan O'Reilly,2015,2014,2016
Brendan O'Reilly,2016,2014,2016
Callan Potter,2019,2019,2020
Callan Potter,2020,2019,2020
Chris Indich,2014,2014,2014
Cody Haddon,2024,2024,2025
Cody Haddon,2025,2024,2025
Colby Thicknesse,2025,2025,2025
Damien Brown,2016,2016,2018
Damien Brown,2017,2016,2018
Damien Brown,2018,2016,2018
Daniel Kelly,2014,2014,2018
Daniel Kelly,2015,2014,2018
Daniel Kelly,2016,2014,2018
Daniel Kelly,2017,2014,2018
Daniel Kelly,2018,2014,2018
Darrius Flowers,2023,2023,2024
Darrius Flowers,2024,2023,2024
Dylan Andrews,2013,2013,2015
Dylan Andrews,2014,2013,2015
Dylan Andrews,2015,2013,2015
George Sotiropoulos,2010,2010,2013
George Sotiropoulos,2011,2010,2013
George Sotiropoulos,2012,2010,2013
George Sotiropoulos,2013,2010,2013
Harry Hunsucker,2021,2021,2022
