RedFighter,RedNationality,BlueFighter,BlueNationality,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Bassil Hafez,Australia,Oban Elliott,United Kingdom,2024-11-16,"New York City, New York, USA",USA,Blue,False,Welterweight,United Kingdom,Bassil Hafez,Australia
Robert Whittaker,Australia,Khamzat Chimaev,United Arab Emirates,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,United Arab Emirates,Robert Whittaker,Australia
Junior Tafa,Australia,Sean Sharaf,Australia,2024-10-12,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,Australia,Sean Sharaf,Australia
Dan Argueta,United States of America,Cody Haddon,Australia,2024-10-12,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,Australia,Dan Argueta,United States of America
Ion Cutelaba,Moldova,Ivan Erslan,Australia,2024-09-28,"Paris, Ile-de-France, France",France,Red,False,Light Heavyweight,Moldova,Ivan Erslan,Australia
Kaan Ofli,Australia,Mairon Santos,United States of America,2024-08-24,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,United States of America,Kaan Ofli,Australia
Kai Kara-France,New Zealand,Steve Erceg,Australia,2024-08-17,"Perth, Western Australia, Australia",Australia,Red,False,Flyweight,New Zealand,Steve Erceg,Australia
Tai Tuivasa,Australia,Jairzinho Rozenstruik,Suriname,2024-08-17,"Perth, Western Australia, Australia",Australia,Blue,False,Heavyweight,Suriname,Tai Tuivasa,Australia
Junior Tafa,Australia,Valter Walker,Ireland,2024-08-17,"Perth, Western Australia, Australia",Australia,Blue,False,Heavyweight,Ireland,Junior Tafa,Australia
Josh Culibao,Australia,Ricardo Ramos,Brazil,2024-08-17,"Perth, Western Australia, Australia",Australia,Blue,False,Featherweight,Brazil,Josh Culibao,Australia
Jack Jenkins,Australia,Herbert Burns,Brazil,2024-08-17,"Perth, Western Australia, Australia",Australia,Red,False,Featherweight,Australia,Herbert Burns,Brazil
Tom Nolan,Australia,Alex Reyes,United States of America,2024-08-17,"Perth, Western Australia, Australia",Australia,Red,False,Lightweight,Australia,Alex Reyes,United States of America
Stewart Nicoll,Australia,Jesus Aguilar,Mexico,2024-08-17,"Perth, Western Australia, Australia",Australia,Blue,False,Flyweight,Mexico,Stewart Nicoll,Australia
Gabriel Bonfim,Brazil,Ange Loosa,Australia,2024-07-13,"Denver, Colorado, USA",USA,Red,False,Welterweight,Brazil,Ange Loosa,Australia
Evan Elder,United States of America,Darrius Flowers,Australia,2024-07-13,"Denver, Colorado, USA",USA,Red,False,Welterweight,United States of America,Darrius Flowers,Australia
Robert Whittaker,Australia,Ikram Aliskerov,Russia,2024-06-22,"Riyadh, Riyadh, Saudi Arabia",Saudi Arabia,Red,False,Middleweight,Australia,Ikram Aliskerov,Russia
Phil Rowe,United States of America,Jake Matthews,Australia,2024-06-01,"Newark, New Jersey, USA",USA,Blue,False,Welterweight,Australia,Phil Rowe,United States of America
Mickey Gall,United States of America,Bassil Hafez,Australia,2024-06-01,"Newark, New Jersey, USA",USA,Blue,False,Welterweight,Australia,Mickey Gall,United States of America
Victor Martinez,United States of America,Tom Nolan,Australia,2024-05-18,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,Australia,Victor Martinez,United States of America
Alexandre Pantoja,Brazil,Steve Erceg,Australia,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Red,True,Flyweight,Brazil,Steve Erceg,Australia
Mauricio Ruffy,Brazil,Jamie Mullarkey,Australia,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Red,False,Lightweight,Brazil,Jamie Mullarkey,Australia
Andre Petroski,United States of America,Jacob Malkoun,Australia,2024-03-30,"Atlantic City, New Jersey, USA",USA,Blue,False,Middleweight,Australia,Andre Petroski,United States of America
