RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Robert Whittaker,Khamzat Chimaev,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Khamzat Chimaev,False,Middleweight,Other,Robert Whittaker,Australian
Junior Tafa,Sean Sharaf,2024-10-12,"Las Vegas, Nevada, USA",Usa,Junior Tafa,False,Heavyweight,Australian,Sean Sharaf,Other
Dan Argueta,Cody Haddon,2024-10-12,"Las Vegas, Nevada, USA",Usa,Cody Haddon,False,Bantamweight,Australian,Dan Argueta,Other
Kaan Ofli,Mairon Santos,2024-08-24,"Las Vegas, Nevada, USA",Usa,Mairon Santos,False,Featherweight,Other,Kaan Ofli,Australian
Kai Kara-France,Steve Erceg,2024-08-17,"Perth, Western Australia, Australia",Australia,Kai Kara-France,False,Flyweight,Other,Steve Erceg,Australian
Tai Tuivasa,Jairzinho Rozenstruik,2024-08-17,"Perth, Western Australia, Australia",Australia,Jairzinho Rozenstruik,False,Heavyweight,Other,Tai Tuivasa,Australian
Junior Tafa,Valter Walker,2024-08-17,"Perth, Western Australia, Australia",Australia,Valter Walker,False,Heavyweight,Other,Junior Tafa,Australian
Casey O'Neill,Luana Santos,2024-08-17,"Perth, Western Australia, Australia",Australia,Casey O'Neill,False,Women's Flyweight,Australian,Luana Santos,Other
Jack Jenkins,Herbert Burns,2024-08-17,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Australian,Herbert Burns,Other
Tom Nolan,Alex Reyes,2024-08-17,"Perth, Western Australia, Australia",Australia,Tom Nolan,False,Lightweight,Australian,Alex Reyes,Other
Robert Whittaker,Ikram Aliskerov,2024-06-22,"Riyadh, Riyadh, Saudi Arabia",Saudi Arabia,Robert Whittaker,False,Middleweight,Australian,Ikram Aliskerov,Other
Phil Rowe,Jake Matthews,2024-06-01,"Newark, New Jersey, USA",Usa,Jake Matthews,False,Welterweight,Australian,Phil Rowe,Other
Victor Martinez,Tom Nolan,2024-05-18,"Las Vegas, Nevada, USA",Usa,Tom Nolan,False,Lightweight,Australian,Victor Martinez,Other
Alexandre Pantoja,Steve Erceg,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Alexandre Pantoja,True,Flyweight,Other,Steve Erceg,Australian
Mauricio Ruffy,Jamie Mullarkey,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Mauricio Ruffy,False,Lightweight,Other,Jamie Mullarkey,Australian
Andre Petroski,Jacob Malkoun,2024-03-30,"Atlantic City, New Jersey, USA",Usa,Jacob Malkoun,False,Middleweight,Australian,Andre Petroski,Other
Karl Williams,Justin Tafa,2024-03-23,"Las Vegas, Nevada, USA",Usa,Karl Williams,False,Heavyweight,Other,Justin Tafa,Australian
Tai Tuivasa,Marcin Tybura,2024-03-16,"Las Vegas, Nevada, USA",Usa,Marcin Tybura,False,Heavyweight,Other,Tai Tuivasa,Australian
Gilbert Burns,Jack Della Maddalena,2024-03-09,"Miami, Florida, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Gilbert Burns,Other
Vitor Petrino,Tyson Pedro,2024-03-02,"Las Vegas, Nevada, USA",Usa,Vitor Petrino,False,Light Heavyweight,Other,Tyson Pedro,Australian
Matt Schnell,Steve Erceg,2024-03-02,"Las Vegas, Nevada, USA",Usa,Steve Erceg,False,Flyweight,Australian,Matt Schnell,Other
Alexander Volkanovski,Ilia Topuria,2024-02-17,"Anaheim, California, USA",Usa,Ilia Topuria,True,Featherweight,Other,Alexander Volkanovski,Australian
Robert Whittaker,Paulo Costa,2024-02-17,"Anaheim, California, USA",Usa,Robert Whittaker,False,Middleweight,Australian,Paulo Costa,Other
Marcos Rogerio de Lima,Junior Tafa,2024-02-17,"Anaheim, California, USA",Usa,Marcos Rogerio de Lima,False,Heavyweight,Other,Junior Tafa,Australian
Nikolas Motta,Tom Nolan,2024-01-13,"Las Vegas, Nevada, USA",Usa,Nikolas Motta,False,Lightweight,Other,Tom Nolan,Australian
Casey O'Neill,Ariane da Silva,2023-12-16,"Las Vegas, Nevada, USA",Usa,Ariane da Silva,False,Women's Flyweight,Other,Casey O'Neill,Australian
Nasrat Haqparast,Jamie Mullarkey,2023-12-09,"Las Vegas, Nevada, USA",Usa,Nasrat Haqparast,False,Lightweight,Other,Jamie Mullarkey,Australian
HyunSung Park,Shannon Ross,2023-12-09,"Las Vegas, Nevada, USA",Usa,HyunSung Park,False,Flyweight,Other,Shannon Ross,Australian
Michael Morales,Jake Matthews,2023-11-18,"Las Vegas, Nevada, USA",Usa,Michael Morales,False,Welterweight,Other,Jake Matthews,Australian
Steve Erceg,Alessandro Costa,2023-11-11,"New York City, New York, USA",Usa,Steve Erceg,False,Flyweight,Australian,Alessandro Costa,Other
Islam Makhachev,Alexander Volkanovski,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Islam Makhachev,True,Lightweight,Other,Alexander Volkanovski,Australian
Jacob Malkoun,Cody Brundage,2023-09-23,"Las Vegas, Nevada, USA",Usa,Cody Brundage,False,Middleweight,Other,Jacob Malkoun,Australian
Kevin Holland,Jack Della Maddalena,2023-09-16,"Las Vegas, Nevada, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Kevin Holland,Other
Tai Tuivasa,Alexander Volkov,2023-09-09,"Sydney, New South Wales, Australia",Australia,Alexander Volkov,False,Heavyweight,Other,Tai Tuivasa,Australian
Justin Tafa,Austen Lane,2023-09-09,"Sydney, New South Wales, Australia",Australia,Justin Tafa,False,Heavyweight,Australian,Austen Lane,Other
Tyson Pedro,Anton Turkalj,2023-09-09,"Sydney, New South Wales, Australia",Australia,Tyson Pedro,False,Light Heavyweight,Australian,Anton Turkalj,Other
Jack Jenkins,Chepe Mariscal,2023-09-09,"Sydney, New South Wales, Australia",Australia,Chepe Mariscal,False,Featherweight,Other,Jack Jenkins,Australian
Jamie Mullarkey,John Makdessi,2023-09-09,"Sydney, New South Wales, Australia",Australia,Jamie Mullarkey,False,Lightweight,Australian,John Makdessi,Other
Junior Tafa,Parker Porter,2023-08-26,"Kallang, Singapore",Singapore,Junior Tafa,False,Heavyweight,Australian,Parker Porter,Other
Jake Matthews,Darrius Flowers,2023-07-29,"Salt Lake City, Utah, USA",Usa,Jake Matthews,False,Welterweight,Australian,Darrius Flowers,Other
Jack Della Maddalena,Bassil Hafez,2023-07-15,"Las Vegas, Nevada, USA",Usa,Jack Della Maddalena,False,Welterweight,Australian,Bassil Hafez,Other
Alexander Volkanovski,Yair Rodriguez,2023-07-08,"Las Vegas, Nevada, USA",Usa,Alexander Volkanovski,True,Featherweight,Australian,Yair Rodriguez,Other
Robert Whittaker,Dricus Du Plessis,2023-07-08,"Las Vegas, Nevada, USA",Usa,Dricus Du Plessis,False,Middleweight,Other,Robert Whittaker,Australian
Jimmy Crute,Alonzo Menifield,2023-07-08,"Las Vegas, Nevada, USA",Usa,Alonzo Menifield,False,Light Heavyweight,Other,Jimmy Crute,Australian
Shannon Ross,Jesus Aguilar,2023-07-08,"Las Vegas, Nevada, USA",Usa,Jesus Aguilar,False,Flyweight,Other,Shannon Ross,Australian
Jamall Emmers,Jack Jenkins,2023-06-24,"Jacksonville, Florida, USA",Usa,Jack Jenkins,False,Featherweight,Australian,Jamall Emmers,Other
David Dvorak,Steve Erceg,2023-06-10,"Vancouver, British Columbia, Canada",Canada,Steve Erceg,False,Flyweight,Australian,David Dvorak,Other
Jamie Mullarkey,Muhammad Naimov,2023-06-03,"Las Vegas, Nevada, USA",Usa,Muhammad Naimov,False,Lightweight,Other,Jamie Mullarkey,Australian
Jessica-Rose Clark,Tainara Lisboa,2023-05-13,"Charlotte, North Carolina, USA",Usa,Tainara Lisboa,False,Women's Bantamweight,Other,Jessica-Rose Clark,Australian
Mohammed Usman,Junior Tafa,2023-04-22,"Las Vegas, Nevada, USA",Usa,Mohammed Usman,False,Heavyweight,Other,Junior Tafa,Australian
Jennifer Maia,Casey O'Neill,2023-03-18,"London, England, United Kingdom",United Kingdom,Jennifer Maia,False,Women's Flyweight,Other,Casey O'Neill,Australian
Islam Makhachev,Alexander Volkanovski,2023-02-11,"Perth, Western Australia, Australia",Australia,Islam Makhachev,True,Lightweight,Other,Alexander Volkanovski,Australian
