Fighter,Metric,Value
Alexander Volkanovski,AvgSigStrLanded,32.39
Islam Makhachev,AvgSigStrLanded,9.775
Alexander Volkanovski,AvgSigStrPct,0.588
Islam Makhachev,AvgSigStrPct,0.566
Alexander Volkanovski,AvgTDLanded,2.484
Islam Makhachev,AvgTDLanded,2.914
Alexander Volkanovski,AvgTDPct,0.49
Islam Makhachev,AvgTDPct,0.56
Alexander Volkanovski,AvgSubAtt,0.235
Islam Makhachev,AvgSubAtt,0.928
Alexander Volkanovski,WinsByKO,2.75
Islam Makhachev,WinsByKO,1.0
Alexander Volkanovski,WinsBySubmission,0.0
Islam Makhachev,WinsBySubmission,2.875
Alexander Volkanovski,WinsByDecisionUnanimous,4.062
Islam Makhachev,WinsByDecisionUnanimous,2.75
