Fighter,Metric,Value,ValueNorm
Alexander Volkanovski,Average Significant Strikes Landed,32.39,1.0
Islam Makhachev,Average Significant Strikes Landed,9.775,0.30179067613460947
Alexander Volkanovski,Average Significant Strikes Percent,0.588,1.0
Islam Makhachev,Average Significant Strikes Percent,0.566,0.9625850340136054
Alexander Volkanovski,Average Takedowns Landed,2.484,0.852436513383665
Islam Makhachev,Average Takedowns Landed,2.914,1.0
Alexander Volkanovski,Average Takedown Percent,0.49,0.8749999999999999
Islam Makhachev,Average Takedown Percent,0.56,1.0
Alexander Volkanovski,Average Submission Attempts,0.235,0.2532327586206896
Islam Makhachev,Average Submission Attempts,0.928,1.0
Alexander Volkanovski,Wins By KO,13.0,1.0
Islam Makhachev,Wins By KO,5.0,0.38461538461538464
Alexander Volkanovski,Wins By Submission,3.0,0.5
Islam Makhachev,Wins By Submission,6.0,1.0
Alexander Volkanovski,Wins By Unanimous Decision,9.0,1.0
Islam Makhachev,Wins By Unanimous Decision,5.0,0.5555555555555556
